"job_title_clean","avg_salary"
"senior aws developer (m/k) - it contracting","4305264.0"
"senior full stack engineer @ creatoriq","3552000.0"
"java developer @ citi","3075600.0"
"senior software engineer @ air space intelligence","491400.0"
"senior rust engineer (ai-driven systems) @ link group","480000.0"
"network engineer / network automation specialist @ link group","450000.0"
"senior rust developer @ link group","450000.0"
"backend java developer with frontend tasks","444000.0"
"senior full stack software engineer @ link group","420000.0"
"cloud data architect aws","408240.0"
"cloud data architect azure","408240.0"
"kotlin java developer","408000.0"
"senior machine learning engineer @ motife","396000.0"
"technical team leader .net  angualr[m/f] @ stackmine","384000.0"
"senior golang developer  react","383040.0"
"gcp devops engineer – krakow - poland - hybrid","378000.0"
"full stack developer (java) @ harvey nash technology","378000.0"
"java engineer azure","367920.0"
"solace system engineer @ cantor fitzgerald","360000.0"
"senior java backend engineer","360000.0"
